Mouse,Sequence,Distance,NavgAmp
1,IR,2.9,0.859561141
2,IR,2.9,1.17478354
3,IR,2.9,0.534957828
4,IR,2.9,0.588475922
5,IR,2.9,0.45302398
6,IR,2.9,1.315110135
7,IR,2.9,0.846715919
8,IR,2.9,0.610668792
1,IR,3.6,0.792279647
2,IR,3.6,1.314694599
3,IR,3.6,0.394405781
4,IR,3.6,0.399057272
5,IR,3.6,0.223392094
6,IR,3.6,0.901463026
7,IR,3.6,0.687329562
8,IR,3.6,0.385683821
1,IR,4.3,0.624749301
2,IR,4.3,1.258723672
3,IR,4.3,0.307864007
4,IR,4.3,0.303598682
5,IR,4.3,0.187499174
6,IR,4.3,0.717137978
7,IR,4.3,0.630292076
8,IR,4.3,0.312633315
1,IR,5,0.428931967
2,IR,5,1.095037152
3,IR,5,0.311728962
4,IR,5,0.293004382
5,IR,5,0.134054139
6,IR,5,0.422818253
7,IR,5,0.656684766
8,IR,5,0.265782693
1,IR,5.7,NaN
2,IR,5.7,0.986806223
3,IR,5.7,0.219312624
4,IR,5.7,0.277777596
5,IR,5.7,0.112901342
6,IR,5.7,0.714697776
7,IR,5.7,0.490948681
8,IR,5.7,0.251123795
1,W,2.9,0.987121859
2,W,2.9,0.997759664
3,W,2.9,1.440179933
4,W,2.9,NaN
5,W,2.9,1.021059771
6,W,2.9,2.711493631
7,W,2.9,1.019449068
8,W,2.9,NaN
1,W,3.6,1.129917925
2,W,3.6,1.03588569
3,W,3.6,1.503522935
4,W,3.6,NaN
5,W,3.6,1.066488425
6,W,3.6,3.388229015
7,W,3.6,1.083083725
8,W,3.6,NaN
1,W,4.3,0.85279594
2,W,4.3,1.02834549
3,W,4.3,1.708388287
4,W,4.3,NaN
5,W,4.3,1.223407941
6,W,4.3,4.291708464
7,W,4.3,0.945264217
8,W,4.3,NaN
1,W,5,0.43905533
2,W,5,1.35084581
3,W,5,1.424354455
4,W,5,NaN
5,W,5,1.188843002
6,W,5,4.421897489
7,W,5,0.636026131
8,W,5,NaN
1,W,5.7,NaN
2,W,5.7,1.233745086
3,W,5.7,1.626880304
4,W,5.7,NaN
5,W,5.7,NaN
6,W,5.7,NaN
7,W,5.7,0.674670448
8,W,5.7,NaN
1,D,2.9,0.925492799
2,D,2.9,0.804538035
3,D,2.9,1.114848758
4,D,2.9,NaN
5,D,2.9,0.896397678
6,D,2.9,NaN
7,D,2.9,0.867523237
8,D,2.9,1.156712575
1,D,3.6,0.84408066
2,D,3.6,0.722664411
3,D,3.6,1.045466798
4,D,3.6,NaN
5,D,3.6,0.662853397
6,D,3.6,NaN
7,D,3.6,0.80746068
8,D,3.6,0.928081018
1,D,4.3,0.171470202
2,D,4.3,0.649383296
3,D,4.3,0.919997191
4,D,4.3,NaN
5,D,4.3,0.479021334
6,D,4.3,NaN
7,D,4.3,0.77682102
8,D,4.3,0.666948635
1,D,5,-0.118934081
2,D,5,0.551465868
3,D,5,0.979992768
4,D,5,NaN
5,D,5,0.239056483
6,D,5,NaN
7,D,5,0.629755863
8,D,5,0.672726512
1,D,5.7,NaN
2,D,5.7,0.438613567
3,D,5.7,0.931614209
4,D,5.7,NaN
5,D,5.7,0.159584141
6,D,5.7,NaN
7,D,5.7,0.450200304
8,D,5.7,0.619322073
1,R,2.9,0.984292592
2,R,2.9,1.622211147
3,R,2.9,0.054833561
4,R,2.9,NaN
5,R,2.9,-1.554660882
6,R,2.9,NaN
7,R,2.9,0.8300238
8,R,2.9,1.994846284
1,R,3.6,1.031732564
2,R,3.6,1.799484606
3,R,3.6,-0.412364089
4,R,3.6,NaN
5,R,3.6,-1.915223912
6,R,3.6,NaN
7,R,3.6,0.956669202
8,R,3.6,-0.118615588
1,R,4.3,1.002988832
2,R,4.3,3.000121683
3,R,4.3,-0.702439923
4,R,4.3,NaN
5,R,4.3,0.33280114
6,R,4.3,NaN
7,R,4.3,0.885241598
8,R,4.3,1.172332177
1,R,5,0.585152286
2,R,5,4.392969502
3,R,5,-0.89961381
4,R,5,NaN
5,R,5,-0.488429379
6,R,5,NaN
7,R,5,0.45137819
8,R,5,2.041277999
1,R,5.7,NaN
2,R,5.7,3.406286136
3,R,5.7,-0.657625708
4,R,5.7,NaN
5,R,5.7,-1.046764781
6,R,5.7,NaN
7,R,5.7,0.122468792
8,R,5.7,1.957828321
