mouseID,Time,Gender,injured,CaAmplit,CaArea,rearing,grooming,NCaAmplit,NCaArea,Nrearing,Ngrooming
i24,-7,m,1,2.93027141513346,426.12939105107,38,50,0.933574875209964,0.84443715630484,0.883720930232558,0.985221674876847
i24,-6,m,1,3.76870304668381,590.03945849938,53,53,1.20069644702398,1.16924871390331,1.23255813953488,1.04433497536946
i24,-4,m,1,3.09591091851893,495.689912342159,51,68,0.986347078660149,0.98228141211936,1.18604651162791,1.33990147783251
i24,-0.014,m,1,2.76017149891232,506.66630119563,30,32,0.879381599105905,1.00403271767249,0.697674418604651,0.630541871921182
i24,0,m,1,NaN,NaN,5,23,NaN,NaN,0.116279069767442,0.45320197044335
i24,0.014,m,1,1.18090797780113,526.608784629505,8,25,0.376233413926198,1.04355163928224,0.186046511627907,0.492610837438424
i24,0.042,m,1,1.4950596468721,526.682606379189,11,20,0.476321106718873,1.04369792777979,0.255813953488372,0.394088669950739
i24,1,m,1,3.96545787590812,528.705270450963,34,41,1.26338189110618,1.04770612982545,0.790697674418605,0.807881773399015
i24,3,m,1,5.84590106167018,566.370135861065,35,53,1.86248493109177,1.1223445202004,0.813953488372093,1.04433497536946
i24,7,m,1,3.56500608529518,538.006500337126,30,54,1.13579926210577,1.06613786506867,0.697674418604651,1.064039408867
i24,14,m,1,1.39148053764036,511.489472338514,68,51,0.443321141847348,1.01359053041623,1.58139534883721,1.00492610837438
i24,56,m,1,2.4807112061087,528.04957,2,28,0.790346465081089,1.04640676433735,0.046511627906977,0.551724137931034
i23,-7,m,1,3.69153853364433,NaN,53,41,1.03799401127628,NaN,1.325,1.25190839694657
i23,-6,m,1,4.21496778431147,NaN,46,31,1.18517286958231,NaN,1.15,0.946564885496183
i23,-4,m,1,3.08462655161347,225.731890007944,13,13,0.867341315419085,1.12135494393493,0.325,0.396946564885496
i23,-0.014,m,1,3.23453122407393,176.873755435874,48,46,0.909491803722327,0.878645281813636,1.2,1.40458015267176
i23,0,m,1,NaN,NaN,10,26,NaN,NaN,0.25,0.793893129770992
i23,0.014,m,1,2.93365650929478,948.22612257578,3,19,0.824891264018342,4.71044676266689,0.075,0.580152671755725
i23,0.042,m,1,3.41222403109923,702.73449880215,13,25,0.959455814070342,3.49093255931934,0.325,0.763358778625954
i23,1,m,1,5.51456599633487,849.81033717,24,34,1.55059643179003,4.22155249291118,0.6,1.0381679389313
i23,3,m,1,4.11447604163366,683.954255637537,43,44,1.1569164053959,3.39763905736799,1.075,1.34351145038168
i23,7,m,1,6.03510217679195,352.530951640078,43,61,1.69696181130706,1.75124713436712,1.075,1.86259541984733
i23,14,m,1,8.93540356305955,322.65867,53,64,2.51247421672742,1.60285236966401,1.325,1.95419847328244
i23,56,m,1,3.39416529668829,317.457865,36,38,0.954378023991602,1.57701663861606,0.9,1.16030534351145
