mouseID	Time	injured	NCAMean	NCA10	NCAMax	NCWMean	NCW10	NCWMax	numb	Nnum
b3	-7	1	1.143005901		1.464011777	1.034998172		1.09565523	25	1.282051282
b3	-6	1	1.226310309		1.234162341	0.97900444		1.108064233	16	0.820512821
b3	-4	1	0.84484554		0.796467033	0.888913032		0.830940642	27	1.384615385
b3	-0.014	1	0.785838251		0.505358849	1.097084356		0.965339895	10	0.512820513
b3	0.014	1	0.431100312		0.170863356	0.646067381		0.364069857	2	0.102564103
b3	0.042	1	0.219368275		0.113633429	0.87754714		0.61900247	5	0.256410256
b3	1	1	0.317250955		0.094419049	1.35635205		0.750626694	1	0.051282051
b3	3	1	1.945157931		0.839854343	1.268157744		0.708640514	2	0.102564103
b3	7	1	NaN		NaN	NaN		NaN	NaN	NaN
b3	14	1	1.498438042		0.952248134	1.580527553		1.235340912	5	0.256410256
b7	-7	1	0.847965739		1.090389935	0.920907999		1.172949657	10	2.5
b7	-6	1	1.987655876		1.981618631	1.134987965		1.122972567	3	0.75
b7	-4	1	0.225721124		0.159900062	0.762972024		0.6580252	1	0.25
b7	-0.014	1	0.938657262		0.768091371	1.181132012		1.046052576	2	0.5
b7	0.014	1	1.328126968		1.225305613	1.140399434		1.024617849	2	0.5
b7	0.042	1	1.418818491		1.154278576	1.031696552		0.957907185	3	0.75
b7	1	1	0.647436705		0.542874989	0.587369857		0.673689226	2	0.5
b7	3	1	0.186421464		0.132060319	0.599269452		0.516839921	1	0.25
b7	7	1	NaN		NaN	NaN		NaN	0	0
b7	14	1	NaN		NaN	NaN		NaN	NaN	NaN
b8	-7	1	1.524867374		1.90577457	0.985984832		1.330496653	17	2.04
b8	-6	1	NaN		NaN	NaN		NaN	NaN	NaN
b8	-4	1	0.845490716		0.745918934	1.083347273		0.886107894	4	0.48
b8	-0.014	1	0.62964191		0.348306496	0.930667895		0.783395454	4	0.48
b8	0.014	1	NaN		NaN	NaN		NaN	NaN	NaN
b8	0.042	1	NaN		NaN	NaN		NaN	NaN	NaN
b8	1	1	1.12102122		0.767406996	1.492684885		2.074546233	9	1.08
b8	3	1	1.735245358		1.83148251	1.280936438		1.541077281	14	1.68
b8	7	1	0.567970822		0.730094392	1.533580044		2.045061985	11	1.32
b8	14	1	0.388428382		0.130094392	1.190429745		0.912715341	1	0.12
b11	-7	1	0.844243173		1.18218564	0.955781364		0.746395019	17	0.894736842
b11	-6	1	0.711952793		0.612625854	0.894322458		0.959058457	18	0.947368421
b11	-4	1	0.965555098		0.686852355	1.075908097		1.032440754	21	1.105263158
b11	-0.014	1	1.478248936		1.518336151	1.073988081		1.26210577	20	1.052631579
b11	0.014	1	2.069438726		1.660615859	0.758265116		0.680024868	9	0.473684211
b11	0.042	1	2.040345821		2.610862056	0.854909995		0.913138481	16	0.842105263
b11	1	1	1.748867847		1.011979128	1.038299099		0.844894593	4	0.210526316
b11	3	1	1.375051462		1.186154185	0.883053868		0.788655651	15	0.789473684
b11	7	1	0.416632359		0.16829573	0.665227166		0.469465075	4	0.210526316
b11	14	1	0.445176341		0.336003528	0.588898874		0.738103061	7	0.368421053
b12	-7	1	0.893460187		1.032307905	0.87066459		0.931551834	34	1.766233766
b12	-6	1	0.704551299		0.386811974	1.184811318		1.101218909	11	0.571428571
b12	-4	1	1.212993914		1.325755277	0.919817557		0.991713587	18	0.935064935
b12	-0.014	1	1.1889946		1.255124845	1.024706534		0.975515671	14	0.727272727
b12	0.014	1	NaN		NaN	NaN		NaN	NaN	NaN
b12	0.042	1	NaN		NaN	NaN		NaN	NaN	NaN
b12	1	1	1.414931002		0.841826459	0.767732566		0.698434638	7	0.363636364
b12	3	1	0.534841862		0.417271348	0.567646485		0.627685067	8	0.415584416
b12	7	1	1.02614211		1.231397434	0.884580014		1.088684269	17	0.883116883
b12	14	1	1.105339847		0.855621465	0.803230211		0.897150459	6	0.311688312
c1	-7	1	NaN		NaN	NaN		NaN	NaN	NaN
c1	-6	1	0.300865801		0.380739467	0.555422981		0.754037546	6	1.636363636
c1	-4	1	1.621933622		1.347033534	1.476346587		1.240030051	2	0.545454545
c1	-0.014	1	1.077200577		1.272226999	0.968230432		1.005932403	3	0.818181818
c1	0.014	1	NaN		NaN	NaN		NaN	0	0
c1	0.042	1	0.593795094		0.923473775	0.74519764		0.681628444	6	1.636363636
c1	1	1	NaN		NaN	NaN		NaN	NaN	NaN
